face_i,baseline_z_m,baseline_dz_m,A_same_ne_z_m,A_same_ne_dz_m,B_ne_half_z_m,B_ne_half_dz_m,C_match_topdz_z_m,C_match_topdz_dz_m
1,0.000000,20.000000,0.000000,100.000001,0.000000,100.000000,0.000000,100.000030
2,20.000000,24.906827,100.000001,116.144946,100.000000,144.696878,100.000030,123.683938
3,44.906827,31.011802,216.144947,134.817790,244.696878,208.989345,223.683968,152.841663
4,75.918629,38.604351,350.962737,156.386741,453.686223,301.052716,376.525632,188.666518
5,114.522980,48.042082,507.349478,181.263957,754.738939,432.026355,565.192149,232.574015
6,162.565062,59.765902,688.613435,209.907293,1186.765293,616.610660,797.766165,286.222912
7,222.330965,74.317943,898.520728,242.820690,1803.375953,873.247936,1083.989077,351.526287
8,296.648907,92.362528,1141.341418,280.552527,2676.623889,1223.187864,1435.515364,430.644265
9,389.011435,114.710214,1421.893945,323.691105,3899.811753,1687.254333,1866.159629,525.946365
10,503.721650,142.344592,1745.585050,372.856244,5587.066086,2278.748662,2392.105994,639.927266
11,646.066241,176.450944,2118.441295,428.685730,7865.814748,2991.375092,3032.033260,775.055699
12,822.517186,218.444936,2547.127025,491.815231,10857.189840,3783.687745,3807.088959,933.533627
13,1040.962121,269.998028,3038.942256,562.850157,14640.877584,4567.261372,4740.622586,1116.944514
14,1310.960149,333.054211,3601.792413,642.327985,19208.138957,5211.994087,5857.567100,1325.779240
15,1644.014361,409.829669,4244.120398,730.669847,24420.133044,5579.866956,7183.346340,1558.850867
16,2053.844030,502.783083,4974.790245,828.120737,30000.000000,,8742.197207,1812.649268
17,2556.627113,614.539594,5802.910981,934.678810,,,10554.846475,2080.743136
18,3171.166707,747.746534,6737.589791,1050.015827,,,12635.589610,2353.400428
19,3918.913241,904.835405,7787.605619,1173.393059,,,14988.990038,2617.644291
20,4823.748647,1087.664871,8960.998677,1303.579775,,,17606.634330,2857.952179
21,5911.413517,1297.028159,10264.578453,1438.784497,,,20464.586508,3057.703540
22,7208.441677,1532.030805,11703.362949,1576.612039,,,23522.290048,3201.276411
23,8740.472482,1789.386502,13279.974988,1714.061166,,,26723.566459,3276.433541
24,10529.858984,2062.741175,14994.036155,1847.577393,,,30000.000000,
25,12592.600159,2342.208879,16841.613548,1973.172151,,,,
26,14934.809038,2614.361586,18814.785699,2086.612517,,,,
27,17549.170624,2862.914972,20901.398216,2183.675157,,,,
28,20412.085596,3070.247341,23085.073372,2260.445544,,,,
29,23482.332937,3219.662030,25345.518916,2313.631262,,,,
30,26701.994967,3298.005033,27659.150179,2340.849821,,,,
31,30000.000000,,30000.000000,,,,,
